2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
2460000000	-3.0368728985	-16.1271128854605	-19.1118093291258	-19.1631681943091	1.02614999489902	1.5253367587734
2460000000	-2.9845130209	-15.7897276627439	-19.7121600326023	-18.0466130643997	0.850155311980372	1.81511644540056
2460000000	-2.9321531434	-14.8318050802584	-20.6816964510211	-16.1396196999362	0.554276840028064	2.33216283633884
2460000000	-2.8797932658	-12.1021450000571	-20.1034304301323	-12.8513066202786	0.293521405228922	2.78612141938257
2460000000	-2.8274333882	-9.16097700393775	-18.2195658335695	-9.73695527972008	0.227036988356768	3.06518783149136
2460000000	-2.7750735107	-6.97692001630394	-16.1437756308397	-7.53776006693417	0.258701583299496	-3.05244648575092
2460000000	-2.7227136331	-5.71650732048765	-14.5525613758405	-6.32498948031058	0.280713376585506	-2.94840149763083
2460000000	-2.6703537556	-5.37956935139798	-13.710012338412	-6.06945613023238	0.272280528841922	-2.8747584809886
2460000000	-2.617993878	-5.97754568743582	-13.5631685228353	-6.80961912574803	0.259359008418849	-2.80592043857213
2460000000	-2.5656340004	-7.58357600720489	-13.9233664690688	-8.7315751043595	0.280988264820725	-2.70874591324098
2460000000	-2.5132741229	-10.2684982007968	-14.5717541300947	-12.2837651311624	0.359083924027202	-2.50919762866528
2460000000	-2.4609142453	-13.447004065047	-15.4399597308133	-17.7883087251931	0.472801276819425	-1.9134343883173
2460000000	-2.4085543678	-14.1647641247824	-16.8955931875871	-17.473763540576	0.570774303240622	-0.689511692860032
2460000000	-2.3561944902	-12.0993527629209	-20.0213470526347	-12.8636060509357	0.618757854217239	-0.148868204650414
2460000000	-2.3038346126	-9.99580048384516	-28.5379001448113	-10.0569833612304	0.609127787235531	0.0930806317517485
2460000000	-2.2514747351	-8.37453773293073	-28.5758049726119	-8.41619962762091	-2.56728782341509	0.255102569420477
2460000000	-2.1991148575	-7.14958862950294	-18.7995774682891	-7.45725346205518	-2.64405311698615	0.377745768902391
2460000000	-2.14675498	-6.26774116309516	-14.4566377734467	-6.98246963371903	-2.71830518476561	0.471740957465081
2460000000	-2.0943951024	-5.69288346895656	-11.733769187612	-6.9355299019854	-2.77395590175777	0.548918095154774
2460000000	-2.0420352248	-5.36083506021001	-9.78876677341124	-7.30413045233468	-2.80471392200466	0.627688300846503
2460000000	-1.9896753473	-5.17157589567886	-8.30846267362503	-8.0588744837598	-2.82148818824138	0.731724835667125
2460000000	-1.9373154697	-5.01776630961285	-7.18020311355099	-9.08262259930514	-2.84181658348981	0.886368090403865
2460000000	-1.8849555922	-4.83092033074122	-6.36852079417793	-10.0864697820044	-2.87899222231444	1.10971977340586
2460000000	-1.8325957146	-4.61000157460775	-5.85518518405426	-10.643237227253	-2.93426823283057	1.38869499638489
2460000000	-1.780235837	-4.40029883957239	-5.62422789982863	-10.4981815263703	-2.99854173567526	1.67109812259177
2460000000	-1.7278759595	-4.24125623215915	-5.66265534762316	-9.78327207471469	-3.05995283352708	1.90386126375442
2460000000	-1.6755160819	-4.14056828585156	-5.96330263311771	-8.79071638336368	-3.11275946177897	2.0671787604643
2460000000	-1.6231562044	-4.0598238690951	-6.50667271695076	-7.71773060031393	3.12230797034272	2.16223835567938
2460000000	-1.5707963268	-3.94178679305567	-7.25692142687161	-6.66725248233204	3.06829069848414	2.19723233372562
2460000000	-1.5184364492	-3.7579693427873	-8.16934718456691	-5.71063457782394	2.99975717779375	2.18353019362404
2460000000	-1.4660765717	-3.53795557330734	-9.22060443854049	-4.90610126067395	2.91924877537005	2.13484060669532
2460000000	-1.4137166941	-3.38015702704694	-10.4653257711512	-4.32571432765689	2.84221067670724	2.06506088389906
2460000000	-1.3613568166	-3.4115519386954	-12.0323227814366	-4.05335575778746	2.79062307101957	1.98485947833871
2460000000	-1.308996939	-3.74818144762326	-14.0741390587149	-4.17100402605901	2.78812295600569	1.90067429002871
2460000000	-1.2566370614	-4.4770074429653	-16.6181004377105	-4.75071612450965	2.8701888593676	1.81602644626783
2460000000	-1.2042771839	-5.66996942109687	-19.2446662033964	-5.86496645478863	3.1020169978269	1.73370366651664
2460000000	-1.1519173063	-7.42437379480022	-20.4156150217232	-7.64814315354213	-2.77285227288169	1.6604560003096
2460000000	-1.0995574288	-9.89515089416256	-18.9991106205057	-10.4647328543687	-2.398742117641	1.61187504134186
2460000000	-1.0471975512	-13.028456972514	-16.5576741096645	-15.575277504098	-2.20307495486833	1.64284009912099
2460000000	-0.9948376736	-14.177638438648	-14.3409317793234	-28.5071876611609	-2.12033411538268	2.7826973144715
2460000000	-0.9424777961	-10.6861397946133	-12.6662736671115	-15.0495514540943	-2.08637026600321	-2.0235679260496
2460000000	-0.8901179185	-6.81444604288077	-11.5710918426262	-8.582660370196	-2.07156440415741	-1.93469161029884
2460000000	-0.837758041	-3.81965643954788	-11.0069806147737	-4.7407243757566	-2.05985546220523	-1.91241543132144
2460000000	-0.7853981634	-1.58582929896595	-10.9273459314397	-2.12313439480886	-2.03759105365108	-1.90272259198755
2460000000	-0.7330382858	0.0371207000015163	-11.3186426016649	-0.29295001766945	-1.98965598030389	-1.8935935217461
2460000000	-0.6806784083	1.14366102572208	-12.2193691962184	0.938691421371979	-1.89710456999817	-1.87790048904375
2460000000	-0.6283185307	1.79063200109459	-13.6602651634586	1.66504085626473	-1.72881387038735	-1.84817745208391
2460000000	-0.5759586532	2.01367406881356	-15.4731345347783	1.93551024801199	-1.43720491039833	-1.79620961080283
2460000000	-0.5235987756	1.82397045288556	-16.8820935470021	1.76506986735472	-0.99120046770482	-1.71278571323943
2460000000	-0.47123889804	1.2428610317948	-16.9900959425395	1.17712991296465	-0.486608808794403	-1.58612263757048
